"","PolicyID","AggClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density","LogAggClaimAmount","LogDensity","CatDriverAge","CatCarAge","powerF"
"45",2310,93,1,0.5,"e",4,42,"Renault, Nissan or Citroen","Regular","R23",361,4.53259949315326,5.88887795833288,3,2,"DEF"
"46",2377,1163,1,1,"d",13,36,"Renault, Nissan or Citroen","Regular","R53",229,7.05875815251866,5.43372200355424,3,4,"DEF"
"47",2425,3602,1,0.68,"e",4,46,"Fiat","Regular","R24",4116,8.1892445257359,8.32263709695394,2,2,"DEF"
"48",2431,1249,2,0.75,"d",8,56,"Opel, General Motors or Ford","Regular","R25",1284,7.13009851012558,7.15773548424991,2,3,"DEF"
"49",2439,1028,1,0.54,"g",12,44,"Renault, Nissan or Citroen","Regular","R24",399,6.93537044601511,5.98896141688986,2,4,"GH"
"50",2440,1138,1,0.19,"g",13,44,"Renault, Nissan or Citroen","Regular","R24",399,7.03702761468628,5.98896141688986,2,4,"GH"
"51",2458,1038,1,1,"f",2,73,"Renault, Nissan or Citroen","Diesel","R24",105,6.94505106372583,4.65396035015752,2,2,"DEF"
"52",2461,1152,1,1,"e",7,61,"Renault, Nissan or Citroen","Regular","R53",461,7.04925484125584,6.13339804299665,2,3,"DEF"
"53",2467,78,1,1,"g",8,53,"Renault, Nissan or Citroen","Regular","R24",121,4.35670882668959,4.79579054559674,2,3,"GH"
"54",2501,1048,1,0.19,"g",0,44,"Renault, Nissan or Citroen","Diesel","R25",56,6.95463886488099,4.02535169073515,2,1,"GH"
"55",2519,1143,1,1,"h",7,65,"Volkswagen, Audi, Skoda or Seat","Regular","R24",44,7.04141166379481,3.78418963391826,2,3,"GH"
"56",2538,98,1,1,"g",8,78,"Renault, Nissan or Citroen","Regular","R24",282,4.58496747867057,5.64190707093811,1,3,"GH"
"57",2581,1504,1,1,"d",6,51,"Renault, Nissan or Citroen","Regular","R24",40,7.31588350450979,3.68887945411394,2,3,"DEF"
"58",2587,808,1,1,"d",8,76,"Fiat","Regular","R24",405,6.69456205852109,6.00388706710654,1,3,"DEF"
"59",2591,1134,1,0.59,"f",1,69,"Renault, Nissan or Citroen","Regular","R24",741,7.0335064842877,6.60800062529609,2,2,"DEF"
"60",2674,1119,1,0.99,"h",9,56,"Renault, Nissan or Citroen","Diesel","R25",1284,7.02019070831193,7.15773548424991,2,3,"GH"
"61",2709,314,1,1,"e",1,72,"Renault, Nissan or Citroen","Regular","R24",48,5.74939298590825,3.87120101090789,2,2,"DEF"
"62",2752,1697,1,0.39,"f",10,55,"Renault, Nissan or Citroen","Diesel","R52",26,7.43661726523423,3.25809653802148,2,4,"DEF"
"63",2796,1141,1,0.5,"f",6,44,"Renault, Nissan or Citroen","Diesel","R24",56,7.03966034986208,4.02535169073515,2,3,"DEF"
"64",2798,491,1,1,"g",9,78,"Renault, Nissan or Citroen","Regular","R25",1284,6.19644412779452,7.15773548424991,1,3,"GH"
"65",2812,69024,1,0.49,"f",5,50,"Renault, Nissan or Citroen","Diesel","R53",48,11.1422095491889,3.87120101090789,2,3,"DEF"
"66",2815,1110,1,1,"f",6,78,"Renault, Nissan or Citroen","Regular","R54",43,7.01211529430638,3.76120011569356,1,3,"DEF"
"67",2874,112,1,0.75,"d",10,50,"Renault, Nissan or Citroen","Diesel","R25",251,4.71849887129509,5.52545293913178,2,4,"DEF"
"68",2919,683,1,1,"e",10,62,"Renault, Nissan or Citroen","Regular","R11",2563,6.52649485957079,7.84893372636407,2,4,"DEF"
"69",2956,1116,1,0.67,"g",2,53,"Renault, Nissan or Citroen","Regular","R24",13,7.01750614294126,2.56494935746154,2,2,"GH"
"70",2969,241,1,1,"f",13,48,"Opel, General Motors or Ford","Regular","R24",335,5.48479693349065,5.81413053182507,2,4,"DEF"
"71",2974,1141,1,1,"g",6,54,"Renault, Nissan or Citroen","Regular","R24",66,7.03966034986208,4.18965474202643,2,3,"GH"
"72",2999,5522,1,1,"o",1,73,"Mercedes, Chrysler or BMW","Regular","R24",10,8.6164953924901,2.30258509299405,2,2,"other"
"73",3015,3742,1,0.24,"g",18,51,"Renault, Nissan or Citroen","Regular","R24",1313,8.22737550683403,7.1800698743028,2,5,"GH"
"74",3023,24789,1,0.72,"d",11,79,"Renault, Nissan or Citroen","Regular","R24",39,10.1181552853693,3.66356164612965,1,4,"DEF"
"75",3085,2428,1,1,"j",11,66,"Japanese (except Nissan) or Korean","Diesel","R24",4116,7.79482315217939,8.32263709695394,2,4,"other"
"76",3144,61,1,0.5,"e",5,53,"Renault, Nissan or Citroen","Regular","R53",94,4.11087386417331,4.54329478227,2,3,"DEF"
"77",3161,10,1,1,"g",14,63,"Renault, Nissan or Citroen","Regular","R24",1943,2.30258509299405,7.57198844937744,2,4,"GH"
"78",3177,1093,1,1,"e",9,50,"Opel, General Motors or Ford","Diesel","R24",399,6.99668148817654,5.98896141688986,2,3,"DEF"
"79",3202,1174,1,1,"i",10,53,"Renault, Nissan or Citroen","Regular","R24",255,7.06817200038804,5.54126354515843,2,4,"other"
"80",3275,2268,2,1,"f",12,86,"Renault, Nissan or Citroen","Regular","R54",227,7.72665366484764,5.4249500174814,1,4,"DEF"
"81",3285,1311,1,1,"f",4,67,"Renault, Nissan or Citroen","Diesel","R24",18,7.1785454837637,2.89037175789616,2,2,"DEF"
"82",3298,1167,1,1,"k",11,48,"Mercedes, Chrysler or BMW","Regular","R54",49,7.06219163228656,3.89182029811063,2,4,"other"
"83",3306,394,1,0.93,"g",14,60,"Renault, Nissan or Citroen","Regular","R24",295,5.97635090929793,5.68697535633982,2,4,"GH"
"84",3328,7,1,0.16,"i",16,64,"Renault, Nissan or Citroen","Regular","R24",295,1.94591014905531,5.68697535633982,2,5,"other"
"85",3342,1109,1,1,"e",11,43,"Renault, Nissan or Citroen","Diesel","R24",44,7.01121398735037,3.78418963391826,2,4,"DEF"
"86",3344,7119,1,1,"d",4,75,"Renault, Nissan or Citroen","Regular","R24",385,8.87052254510387,5.95324333428778,1,2,"DEF"
"87",3349,720,1,0.34,"f",0,52,"Fiat","Regular","R24",50,6.5792512120101,3.91202300542815,2,1,"DEF"
"88",3356,232,1,0.79,"g",8,43,"Renault, Nissan or Citroen","Regular","R24",16,5.44673737166631,2.77258872223978,2,3,"GH"
"89",3380,66376,1,0.33,"j",7,49,"Mercedes, Chrysler or BMW","Regular","R24",73,11.1030908243441,4.29045944114839,2,3,"other"
"90",3385,778,1,1,"g",10,67,"Renault, Nissan or Citroen","Regular","R24",48,6.65672652417839,3.87120101090789,2,4,"GH"
"91",3447,968,1,1,"f",9,53,"Renault, Nissan or Citroen","Regular","R24",24,6.87523208727658,3.17805383034795,2,3,"DEF"
"92",3494,1061,1,1,"l",5,51,"Japanese (except Nissan) or Korean","Diesel","R52",8,6.96696713861398,2.07944154167984,2,3,"other"
"93",3504,10843,2,1,"g",3,75,"Renault, Nissan or Citroen","Regular","R24",91,9.29127498947218,4.51085950651685,1,2,"GH"
"94",3516,770,1,1,"e",9,43,"Opel, General Motors or Ford","Diesel","R24",35,6.64639051484773,3.55534806148941,2,3,"DEF"
"95",3546,1260,1,0.24,"g",0,54,"other","Diesel","R24",4116,7.13886699994552,8.32263709695394,2,1,"GH"
"96",3567,2314,1,1,"f",5,54,"Opel, General Motors or Ford","Regular","R53",1102,7.74673290775362,7.00488198971286,2,3,"DEF"
"97",3577,1103,1,1,"f",2,80,"Renault, Nissan or Citroen","Regular","R53",473,7.0057890192535,6.15909538849193,1,2,"DEF"
"98",3592,60,1,1,"d",12,49,"Renault, Nissan or Citroen","Regular","R52",522,4.0943445622221,6.25766758788264,2,4,"DEF"
"99",3616,1087,1,0.87,"f",1,71,"Renault, Nissan or Citroen","Diesel","R53",229,6.99117688712121,5.43372200355424,2,2,"DEF"
"100",3666,1121,1,1,"d",11,86,"Renault, Nissan or Citroen","Diesel","R24",51,7.02197642307216,3.93182563272433,1,4,"DEF"
"101",3677,1171,1,1,"g",13,73,"Renault, Nissan or Citroen","Regular","R24",182,7.06561336359772,5.2040066870768,2,4,"GH"
"102",3694,676,1,1,"h",6,69,"Renault, Nissan or Citroen","Regular","R53",359,6.51619307604296,5.88332238848828,2,3,"GH"
"103",3721,1117,1,0.74,"f",4,42,"Renault, Nissan or Citroen","Diesel","R24",28,7.0184017990692,3.3322045101752,3,2,"DEF"
"104",3737,257,1,0.98,"g",6,52,"Renault, Nissan or Citroen","Diesel","R24",44,5.54907608489522,3.78418963391826,2,3,"GH"
"105",3763,1170,1,0.16,"l",12,45,"Volkswagen, Audi, Skoda or Seat","Regular","R24",10,7.0647590277918,2.30258509299405,2,4,"other"
"106",3814,1301,1,1,"e",2,52,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",1313,7.1708884785125,7.1800698743028,2,2,"DEF"
"107",3829,537,1,0.75,"d",15,72,"Renault, Nissan or Citroen","Regular","R24",57,6.28599809450886,4.04305126783455,2,5,"DEF"
"108",3836,1122,1,1,"g",11,87,"Renault, Nissan or Citroen","Regular","R24",399,7.02286808608264,5.98896141688986,1,4,"GH"
"109",3841,30673,1,1,"f",2,50,"Renault, Nissan or Citroen","Diesel","R24",32,10.3311380677795,3.46573590279973,2,2,"DEF"
"110",3843,2265,2,1,"e",17,58,"Renault, Nissan or Citroen","Regular","R24",44,7.72533003791713,3.78418963391826,2,5,"DEF"
"111",3882,1071,1,1,"g",14,55,"Renault, Nissan or Citroen","Regular","R24",111,6.97634807044775,4.70953020131233,2,4,"GH"
"112",3901,4844,1,0.24,"h",10,49,"Mercedes, Chrysler or BMW","Regular","R24",12,8.48549610467298,2.484906649788,2,4,"GH"
"113",3907,195,1,1,"g",5,51,"Renault, Nissan or Citroen","Diesel","R24",59,5.27299955856375,4.07753744390572,2,3,"GH"
"114",3937,513,1,1,"g",7,82,"Renault, Nissan or Citroen","Regular","R24",27,6.24027584517077,3.29583686600433,1,3,"GH"
"115",3965,1192,1,1,"i",1,62,"Renault, Nissan or Citroen","Regular","R24",91,7.0833878476253,4.51085950651685,2,2,"other"
"116",4050,1110,1,1,"f",6,69,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",25,7.01211529430638,3.2188758248682,2,3,"DEF"
"117",4059,389,1,1,"h",1,45,"Renault, Nissan or Citroen","Diesel","R24",106,5.96357934361845,4.66343909411207,2,2,"GH"
"118",4062,1113,1,1,"g",5,72,"Renault, Nissan or Citroen","Regular","R24",26,7.01481435127554,3.25809653802148,2,3,"GH"
"119",4099,796,1,1,"e",6,46,"Opel, General Motors or Ford","Diesel","R11",2007,6.67959918584438,7.60439634879634,2,3,"DEF"
"120",4134,2274,1,1,"k",6,42,"Renault, Nissan or Citroen","Regular","R24",74,7.72929567431048,4.30406509320417,3,3,"other"
"121",4154,2738,1,1,"g",5,50,"Renault, Nissan or Citroen","Diesel","R24",1313,7.91498300584839,7.1800698743028,2,3,"GH"
"122",4160,889,1,1,"d",21,68,"Renault, Nissan or Citroen","Regular","R24",30,6.7900972355139,3.40119738166216,2,5,"DEF"
"123",4183,1164,1,1,"g",12,68,"Mercedes, Chrysler or BMW","Regular","R24",270,7.05961762829138,5.59842195899838,2,4,"GH"
"124",4267,1102,1,0.52,"f",4,46,"Renault, Nissan or Citroen","Diesel","R25",50,7.00488198971286,3.91202300542815,2,2,"DEF"
"125",4281,1069,1,1,"h",6,58,"other","Diesel","R53",575,6.97447891102505,6.35437004079735,2,3,"GH"
"126",4286,1115,1,0.99,"k",8,53,"other","Regular","R53",165,7.01660968389422,5.10594547390058,2,3,"other"
"127",4292,1135,1,1,"f",5,71,"Renault, Nissan or Citroen","Diesel","R53",634,7.0343879299155,6.45204895443723,2,3,"DEF"
"128",4336,1128,1,0.96,"d",15,54,"Renault, Nissan or Citroen","Regular","R53",473,7.028201432058,6.15909538849193,2,5,"DEF"
"129",4344,3184,1,0.22,"g",4,49,"Renault, Nissan or Citroen","Diesel","R52",4128,8.06589354696427,8.3255483071614,2,2,"GH"
"130",4365,1159,1,1,"e",14,49,"Renault, Nissan or Citroen","Regular","R52",4128,7.05531284333975,8.3255483071614,2,4,"DEF"
"131",4368,573,1,1,"g",10,47,"Fiat","Diesel","R25",122,6.35088571671474,4.80402104473326,2,4,"GH"
"132",4379,750,1,1,"e",4,71,"Renault, Nissan or Citroen","Regular","R52",91,6.62007320653036,4.51085950651685,2,2,"DEF"
"133",4421,576,1,1,"f",6,81,"other","Diesel","R24",112,6.35610766069589,4.71849887129509,1,3,"DEF"
"134",4428,208,1,1,"f",11,50,"Renault, Nissan or Citroen","Regular","R25",60,5.33753807970132,4.0943445622221,2,4,"DEF"
"135",4439,1129,1,0.42,"f",12,42,"Renault, Nissan or Citroen","Regular","R53",133,7.02908756414966,4.89034912822175,3,4,"DEF"
"136",4444,1683,1,0.96,"d",11,43,"Renault, Nissan or Citroen","Regular","R25",196,7.42833319419081,5.27811465923052,2,4,"DEF"
"137",4488,10463,1,0.37,"d",10,78,"Renault, Nissan or Citroen","Diesel","R24",45,9.25560050338105,3.80666248977032,1,4,"DEF"
"138",4500,164,1,1,"f",3,51,"Volkswagen, Audi, Skoda or Seat","Regular","R53",287,5.0998664278242,5.65948221575962,2,2,"DEF"
"139",4531,1108,1,0.36,"e",8,56,"Renault, Nissan or Citroen","Diesel","R11",27000,7.01031186730723,10.2035921449865,2,3,"DEF"
"140",4539,1162,1,1,"f",5,59,"Renault, Nissan or Citroen","Diesel","R31",270,7.05789793741186,5.59842195899838,2,3,"DEF"
"141",4542,1130,1,0.52,"g",3,51,"Renault, Nissan or Citroen","Diesel","R24",71,7.02997291170639,4.26267987704132,2,2,"GH"
"142",4566,1207,1,0.22,"d",5,69,"Renault, Nissan or Citroen","Regular","R53",473,7.09589322109753,6.15909538849193,2,3,"DEF"
"143",4609,1163,1,1,"d",10,56,"Opel, General Motors or Ford","Regular","R53",3386,7.05875815251866,8.12740456269308,2,4,"DEF"
"144",4623,1098,1,1,"e",2,72,"Renault, Nissan or Citroen","Regular","R53",473,7.00124562206948,6.15909538849193,2,2,"DEF"
"145",4634,127,1,1,"e",1,58,"Volkswagen, Audi, Skoda or Seat","Regular","R11",27000,4.84418708645859,10.2035921449865,2,2,"DEF"
"146",4665,1117,1,1,"d",15,68,"Renault, Nissan or Citroen","Regular","R24",9,7.0184017990692,2.19722457733622,2,5,"DEF"
"147",4682,80,1,1,"d",8,39,"Opel, General Motors or Ford","Diesel","R24",29,4.38202663467388,3.36729582998647,3,3,"DEF"
"148",4719,1140,1,0.39,"g",4,74,"Renault, Nissan or Citroen","Diesel","R24",155,7.03878354138854,5.04342511691925,2,2,"GH"
"149",4747,1047,1,0.43,"e",4,53,"Opel, General Motors or Ford","Diesel","R24",128,6.95368421087054,4.85203026391962,2,2,"DEF"
"150",4760,3437,1,0.5,"g",4,52,"Renault, Nissan or Citroen","Regular","R24",14,8.14235427684983,2.63905732961526,2,2,"GH"
"151",4765,387,1,1,"f",2,77,"Renault, Nissan or Citroen","Regular","R24",399,5.95842469302978,5.98896141688986,1,2,"DEF"
"152",4795,70,1,0.74,"f",1,58,"Mercedes, Chrysler or BMW","Regular","R24",399,4.24849524204936,5.98896141688986,2,2,"DEF"
"153",4810,1088,1,1,"f",6,65,"Renault, Nissan or Citroen","Diesel","R24",16,6.99209642741589,2.77258872223978,2,3,"DEF"
"154",4824,1240,1,1,"g",11,55,"Renault, Nissan or Citroen","Regular","R24",30,7.12286665859908,3.40119738166216,2,4,"GH"
"155",4826,1083,1,1,"e",2,76,"Renault, Nissan or Citroen","Regular","R24",43,6.98749024700099,3.76120011569356,1,2,"DEF"
"156",4857,1059,1,1,"e",12,62,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",399,6.96508034560141,5.98896141688986,2,4,"DEF"
"157",4874,72,1,1,"g",5,63,"Renault, Nissan or Citroen","Diesel","R24",192,4.27666611901606,5.25749537202778,2,3,"GH"
"158",4891,1177,1,0.71,"g",3,51,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",9,7.07072410726028,2.19722457733622,2,2,"GH"
"159",4953,1256,1,1,"e",6,57,"Opel, General Motors or Ford","Diesel","R24",4116,7.13568734702814,8.32263709695394,2,3,"DEF"
"160",4954,1344,1,1,"f",3,41,"Renault, Nissan or Citroen","Regular","R24",270,7.20340552108309,5.59842195899838,3,2,"DEF"
"161",4977,1083,1,0.75,"f",4,48,"Renault, Nissan or Citroen","Diesel","R52",13,6.98749024700099,2.56494935746154,2,2,"DEF"
"162",4984,1922,1,0.77,"f",1,48,"Renault, Nissan or Citroen","Regular","R24",1064,7.56112158953024,6.96979066990159,2,2,"DEF"
"163",4986,81,1,1,"i",13,44,"Mercedes, Chrysler or BMW","Diesel","R24",394,4.39444915467244,5.97635090929793,2,4,"other"
"164",5010,2827,1,0.72,"e",0,64,"Renault, Nissan or Citroen","Diesel","R24",51,7.94697135769359,3.93182563272433,2,1,"DEF"
"165",5074,134,1,1,"g",11,41,"Renault, Nissan or Citroen","Regular","R24",821,4.89783979995091,6.71052310945243,3,4,"GH"
"166",5122,1123,1,1,"d",15,72,"Renault, Nissan or Citroen","Regular","R53",229,7.02375895473844,5.43372200355424,2,5,"DEF"
"167",5160,1173,1,1,"f",3,38,"Renault, Nissan or Citroen","Diesel","R25",2103,7.06731984865348,7.6511201757027,3,2,"DEF"
"168",5183,69,1,1,"e",8,66,"Opel, General Motors or Ford","Regular","R53",1192,4.23410650459726,7.0833878476253,2,3,"DEF"
"169",5200,3869,1,1,"h",6,45,"Japanese (except Nissan) or Korean","Regular","R53",473,8.26075135470051,6.15909538849193,2,3,"GH"
"170",5206,1127,1,0.75,"g",7,57,"Opel, General Motors or Ford","Regular","R53",229,7.02731451403978,5.43372200355424,2,3,"GH"
"171",5211,425,1,1,"f",2,58,"Renault, Nissan or Citroen","Diesel","R53",473,6.05208916892442,6.15909538849193,2,2,"DEF"
"172",5228,1074,1,1,"f",6,65,"Renault, Nissan or Citroen","Regular","R53",229,6.97914527506881,5.43372200355424,2,3,"DEF"
"173",5244,582,1,0.88,"e",6,52,"Volkswagen, Audi, Skoda or Seat","Regular","R53",473,6.36647044773144,6.15909538849193,2,3,"DEF"
"174",5272,471,1,1,"e",5,43,"Renault, Nissan or Citroen","Regular","R52",4128,6.15485809401642,8.3255483071614,2,3,"DEF"
"175",5284,1081,1,1,"g",6,44,"Renault, Nissan or Citroen","Diesel","R25",77,6.98564181763921,4.34380542185368,2,3,"GH"
"176",5295,321,1,0.72,"f",7,51,"Renault, Nissan or Citroen","Regular","R11",8884,5.77144112313002,9.09200718501432,2,3,"DEF"
"177",5302,1442,2,1,"f",9,80,"Renault, Nissan or Citroen","Regular","R25",1284,7.27378631784489,7.15773548424991,1,3,"DEF"
"178",5308,91,1,0.24,"k",7,60,"Renault, Nissan or Citroen","Regular","R53",3386,4.51085950651685,8.12740456269308,2,3,"other"
"179",5319,1127,1,1,"g",7,49,"Renault, Nissan or Citroen","Diesel","R53",165,7.02731451403978,5.10594547390058,2,3,"GH"
"180",5328,1113,1,1,"f",2,66,"Renault, Nissan or Citroen","Diesel","R53",165,7.01481435127554,5.10594547390058,2,2,"DEF"
"181",5364,64,1,1,"d",6,51,"Fiat","Regular","R11",36,4.15888308335967,3.58351893845611,2,3,"DEF"
"182",5411,41,1,1,"d",5,56,"Fiat","Regular","R53",461,3.71357206670431,6.13339804299665,2,3,"DEF"
"183",5416,1115,1,1,"e",13,86,"Renault, Nissan or Citroen","Regular","R24",16,7.01660968389422,2.77258872223978,1,4,"DEF"
"184",5434,2588,1,0.97,"f",2,79,"Renault, Nissan or Citroen","Diesel","R24",118,7.85864065562079,4.77068462446567,1,2,"DEF"
"185",5447,1147,1,0.63,"e",9,36,"Opel, General Motors or Ford","Diesel","R24",1064,7.04490511712937,6.96979066990159,3,3,"DEF"
"186",5459,7688,1,1,"e",1,54,"Mercedes, Chrysler or BMW","Diesel","R24",3866,8.94741595065013,8.25997565976828,2,2,"DEF"
"187",5461,1157,1,1,"f",4,50,"Opel, General Motors or Ford","Diesel","R24",282,7.05358572719368,5.64190707093811,2,2,"DEF"
"188",5464,1138,1,1,"i",12,53,"other","Regular","R24",1193,7.03702761468628,7.08422642209792,2,4,"other"
"189",5478,1180,1,0.87,"d",3,46,"Renault, Nissan or Citroen","Regular","R24",28,7.07326971745971,3.3322045101752,2,2,"DEF"
"190",5492,2925,1,0.41,"i",11,29,"Mercedes, Chrysler or BMW","Diesel","R24",3866,7.98104975966596,8.25997565976828,3,4,"other"
"191",5506,75,1,0.66,"g",4,49,"Renault, Nissan or Citroen","Diesel","R24",97,4.31748811353631,4.57471097850338,2,2,"GH"
"192",5512,7833,1,0.7,"f",10,63,"Renault, Nissan or Citroen","Diesel","R24",1398,8.96610085736724,7.24279792279376,2,4,"DEF"
"193",5546,1439,1,0.26,"g",11,33,"Renault, Nissan or Citroen","Regular","R24",374,7.27170370688737,5.92425579741453,3,4,"GH"
"194",5547,1097,1,0.73,"g",17,33,"Renault, Nissan or Citroen","Regular","R24",374,7.00033446027523,5.92425579741453,3,5,"GH"
"195",5602,1150,1,1,"f",11,50,"Renault, Nissan or Citroen","Regular","R11",10156,7.0475172213573,9.22581994282457,2,4,"DEF"
