"","PolicyID","AggClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density","LogAggClaimAmount","LogDensity","CatDriverAge","powerF"
"70",2969,241,1,1,"f",13,48,"Opel, General Motors or Ford","Regular","R24",335,5.48479693349065,5.81413053182507,2,"DEF"
"71",2974,1141,1,1,"g",6,54,"Renault, Nissan or Citroen","Regular","R24",66,7.03966034986208,4.18965474202643,1,"GH"
"72",2999,5522,1,1,"o",1,73,"Mercedes, Chrysler or BMW","Regular","R24",10,8.6164953924901,2.30258509299405,1,"other"
"73",3015,3742,1,0.24,"g",18,51,"Renault, Nissan or Citroen","Regular","R24",1313,8.22737550683403,7.1800698743028,1,"GH"
"74",3023,24789,1,0.72,"d",11,79,"Renault, Nissan or Citroen","Regular","R24",39,10.1181552853693,3.66356164612965,1,"DEF"
"75",3085,2428,1,1,"j",11,66,"Japanese (except Nissan) or Korean","Diesel","R24",4116,7.79482315217939,8.32263709695394,1,"other"
"77",3161,10,1,1,"g",14,63,"Renault, Nissan or Citroen","Regular","R24",1943,2.30258509299405,7.57198844937744,1,"GH"
"78",3177,1093,1,1,"e",9,50,"Opel, General Motors or Ford","Diesel","R24",399,6.99668148817654,5.98896141688986,1,"DEF"
"79",3202,1174,1,1,"i",10,53,"Renault, Nissan or Citroen","Regular","R24",255,7.06817200038804,5.54126354515843,1,"other"
"81",3285,1311,1,1,"f",4,67,"Renault, Nissan or Citroen","Diesel","R24",18,7.1785454837637,2.89037175789616,1,"DEF"
"83",3306,394,1,0.93,"g",14,60,"Renault, Nissan or Citroen","Regular","R24",295,5.97635090929793,5.68697535633982,1,"GH"
"84",3328,7,1,0.16,"i",16,64,"Renault, Nissan or Citroen","Regular","R24",295,1.94591014905531,5.68697535633982,1,"other"
"85",3342,1109,1,1,"e",11,43,"Renault, Nissan or Citroen","Diesel","R24",44,7.01121398735037,3.78418963391826,2,"DEF"
"86",3344,7119,1,1,"d",4,75,"Renault, Nissan or Citroen","Regular","R24",385,8.87052254510387,5.95324333428778,1,"DEF"
"87",3349,720,1,0.34,"f",0,52,"Fiat","Regular","R24",50,6.5792512120101,3.91202300542815,1,"DEF"
"88",3356,232,1,0.79,"g",8,43,"Renault, Nissan or Citroen","Regular","R24",16,5.44673737166631,2.77258872223978,2,"GH"
"89",3380,66376,1,0.33,"j",7,49,"Mercedes, Chrysler or BMW","Regular","R24",73,11.1030908243441,4.29045944114839,2,"other"
"90",3385,778,1,1,"g",10,67,"Renault, Nissan or Citroen","Regular","R24",48,6.65672652417839,3.87120101090789,1,"GH"
"91",3447,968,1,1,"f",9,53,"Renault, Nissan or Citroen","Regular","R24",24,6.87523208727658,3.17805383034795,1,"DEF"
"93",3504,10843,2,1,"g",3,75,"Renault, Nissan or Citroen","Regular","R24",91,9.29127498947218,4.51085950651685,1,"GH"
"94",3516,770,1,1,"e",9,43,"Opel, General Motors or Ford","Diesel","R24",35,6.64639051484773,3.55534806148941,2,"DEF"
"95",3546,1260,1,0.24,"g",0,54,"other","Diesel","R24",4116,7.13886699994552,8.32263709695394,1,"GH"
"100",3666,1121,1,1,"d",11,86,"Renault, Nissan or Citroen","Diesel","R24",51,7.02197642307216,3.93182563272433,1,"DEF"
"101",3677,1171,1,1,"g",13,73,"Renault, Nissan or Citroen","Regular","R24",182,7.06561336359772,5.2040066870768,1,"GH"
"103",3721,1117,1,0.74,"f",4,42,"Renault, Nissan or Citroen","Diesel","R24",28,7.0184017990692,3.3322045101752,2,"DEF"
"104",3737,257,1,0.98,"g",6,52,"Renault, Nissan or Citroen","Diesel","R24",44,5.54907608489522,3.78418963391826,1,"GH"
"105",3763,1170,1,0.16,"l",12,45,"Volkswagen, Audi, Skoda or Seat","Regular","R24",10,7.0647590277918,2.30258509299405,2,"other"
"106",3814,1301,1,1,"e",2,52,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",1313,7.1708884785125,7.1800698743028,1,"DEF"
"107",3829,537,1,0.75,"d",15,72,"Renault, Nissan or Citroen","Regular","R24",57,6.28599809450886,4.04305126783455,1,"DEF"
"108",3836,1122,1,1,"g",11,87,"Renault, Nissan or Citroen","Regular","R24",399,7.02286808608264,5.98896141688986,1,"GH"
"109",3841,30673,1,1,"f",2,50,"Renault, Nissan or Citroen","Diesel","R24",32,10.3311380677795,3.46573590279973,1,"DEF"
"110",3843,2265,2,1,"e",17,58,"Renault, Nissan or Citroen","Regular","R24",44,7.72533003791713,3.78418963391826,1,"DEF"
"111",3882,1071,1,1,"g",14,55,"Renault, Nissan or Citroen","Regular","R24",111,6.97634807044775,4.70953020131233,1,"GH"
"112",3901,4844,1,0.24,"h",10,49,"Mercedes, Chrysler or BMW","Regular","R24",12,8.48549610467298,2.484906649788,2,"GH"
"113",3907,195,1,1,"g",5,51,"Renault, Nissan or Citroen","Diesel","R24",59,5.27299955856375,4.07753744390572,1,"GH"
"114",3937,513,1,1,"g",7,82,"Renault, Nissan or Citroen","Regular","R24",27,6.24027584517077,3.29583686600433,1,"GH"
"115",3965,1192,1,1,"i",1,62,"Renault, Nissan or Citroen","Regular","R24",91,7.0833878476253,4.51085950651685,1,"other"
"116",4050,1110,1,1,"f",6,69,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",25,7.01211529430638,3.2188758248682,1,"DEF"
"117",4059,389,1,1,"h",1,45,"Renault, Nissan or Citroen","Diesel","R24",106,5.96357934361845,4.66343909411207,2,"GH"
"118",4062,1113,1,1,"g",5,72,"Renault, Nissan or Citroen","Regular","R24",26,7.01481435127554,3.25809653802148,1,"GH"
"120",4134,2274,1,1,"k",6,42,"Renault, Nissan or Citroen","Regular","R24",74,7.72929567431048,4.30406509320417,2,"other"
"121",4154,2738,1,1,"g",5,50,"Renault, Nissan or Citroen","Diesel","R24",1313,7.91498300584839,7.1800698743028,1,"GH"
"122",4160,889,1,1,"d",21,68,"Renault, Nissan or Citroen","Regular","R24",30,6.7900972355139,3.40119738166216,1,"DEF"
"123",4183,1164,1,1,"g",12,68,"Mercedes, Chrysler or BMW","Regular","R24",270,7.05961762829138,5.59842195899838,1,"GH"
"133",4421,576,1,1,"f",6,81,"other","Diesel","R24",112,6.35610766069589,4.71849887129509,1,"DEF"
"137",4488,10463,1,0.37,"d",10,78,"Renault, Nissan or Citroen","Diesel","R24",45,9.25560050338105,3.80666248977032,1,"DEF"
"141",4542,1130,1,0.52,"g",3,51,"Renault, Nissan or Citroen","Diesel","R24",71,7.02997291170639,4.26267987704132,1,"GH"
"146",4665,1117,1,1,"d",15,68,"Renault, Nissan or Citroen","Regular","R24",9,7.0184017990692,2.19722457733622,1,"DEF"
"147",4682,80,1,1,"d",8,39,"Opel, General Motors or Ford","Diesel","R24",29,4.38202663467388,3.36729582998647,2,"DEF"
"148",4719,1140,1,0.39,"g",4,74,"Renault, Nissan or Citroen","Diesel","R24",155,7.03878354138854,5.04342511691925,1,"GH"
"149",4747,1047,1,0.43,"e",4,53,"Opel, General Motors or Ford","Diesel","R24",128,6.95368421087054,4.85203026391962,1,"DEF"
"150",4760,3437,1,0.5,"g",4,52,"Renault, Nissan or Citroen","Regular","R24",14,8.14235427684983,2.63905732961526,1,"GH"
"151",4765,387,1,1,"f",2,77,"Renault, Nissan or Citroen","Regular","R24",399,5.95842469302978,5.98896141688986,1,"DEF"
"152",4795,70,1,0.74,"f",1,58,"Mercedes, Chrysler or BMW","Regular","R24",399,4.24849524204936,5.98896141688986,1,"DEF"
"153",4810,1088,1,1,"f",6,65,"Renault, Nissan or Citroen","Diesel","R24",16,6.99209642741589,2.77258872223978,1,"DEF"
"154",4824,1240,1,1,"g",11,55,"Renault, Nissan or Citroen","Regular","R24",30,7.12286665859908,3.40119738166216,1,"GH"
"155",4826,1083,1,1,"e",2,76,"Renault, Nissan or Citroen","Regular","R24",43,6.98749024700099,3.76120011569356,1,"DEF"
"156",4857,1059,1,1,"e",12,62,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",399,6.96508034560141,5.98896141688986,1,"DEF"
"157",4874,72,1,1,"g",5,63,"Renault, Nissan or Citroen","Diesel","R24",192,4.27666611901606,5.25749537202778,1,"GH"
"158",4891,1177,1,0.71,"g",3,51,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",9,7.07072410726028,2.19722457733622,1,"GH"
"159",4953,1256,1,1,"e",6,57,"Opel, General Motors or Ford","Diesel","R24",4116,7.13568734702814,8.32263709695394,1,"DEF"
"160",4954,1344,1,1,"f",3,41,"Renault, Nissan or Citroen","Regular","R24",270,7.20340552108309,5.59842195899838,2,"DEF"
"162",4984,1922,1,0.77,"f",1,48,"Renault, Nissan or Citroen","Regular","R24",1064,7.56112158953024,6.96979066990159,2,"DEF"
"163",4986,81,1,1,"i",13,44,"Mercedes, Chrysler or BMW","Diesel","R24",394,4.39444915467244,5.97635090929793,2,"other"
"164",5010,2827,1,0.72,"e",0,64,"Renault, Nissan or Citroen","Diesel","R24",51,7.94697135769359,3.93182563272433,1,"DEF"
"165",5074,134,1,1,"g",11,41,"Renault, Nissan or Citroen","Regular","R24",821,4.89783979995091,6.71052310945243,2,"GH"
"183",5416,1115,1,1,"e",13,86,"Renault, Nissan or Citroen","Regular","R24",16,7.01660968389422,2.77258872223978,1,"DEF"
"184",5434,2588,1,0.97,"f",2,79,"Renault, Nissan or Citroen","Diesel","R24",118,7.85864065562079,4.77068462446567,1,"DEF"
"185",5447,1147,1,0.63,"e",9,36,"Opel, General Motors or Ford","Diesel","R24",1064,7.04490511712937,6.96979066990159,2,"DEF"
"186",5459,7688,1,1,"e",1,54,"Mercedes, Chrysler or BMW","Diesel","R24",3866,8.94741595065013,8.25997565976828,1,"DEF"
"187",5461,1157,1,1,"f",4,50,"Opel, General Motors or Ford","Diesel","R24",282,7.05358572719368,5.64190707093811,1,"DEF"
"188",5464,1138,1,1,"i",12,53,"other","Regular","R24",1193,7.03702761468628,7.08422642209792,1,"other"
"189",5478,1180,1,0.87,"d",3,46,"Renault, Nissan or Citroen","Regular","R24",28,7.07326971745971,3.3322045101752,2,"DEF"
"190",5492,2925,1,0.41,"i",11,29,"Mercedes, Chrysler or BMW","Diesel","R24",3866,7.98104975966596,8.25997565976828,3,"other"
"191",5506,75,1,0.66,"g",4,49,"Renault, Nissan or Citroen","Diesel","R24",97,4.31748811353631,4.57471097850338,2,"GH"
"192",5512,7833,1,0.7,"f",10,63,"Renault, Nissan or Citroen","Diesel","R24",1398,8.96610085736724,7.24279792279376,1,"DEF"
"193",5546,1439,1,0.26,"g",11,33,"Renault, Nissan or Citroen","Regular","R24",374,7.27170370688737,5.92425579741453,2,"GH"
"194",5547,1097,1,0.73,"g",17,33,"Renault, Nissan or Citroen","Regular","R24",374,7.00033446027523,5.92425579741453,2,"GH"
"209",5885,1441,1,1,"h",3,52,"Renault, Nissan or Citroen","Diesel","R24",90,7.27309259599952,4.49980967033027,1,"GH"
"210",5900,1857,1,0.66,"f",0,60,"Renault, Nissan or Citroen","Regular","R24",20,7.52671756135271,2.99573227355399,1,"DEF"
"211",5924,51,1,0.97,"g",9,47,"Renault, Nissan or Citroen","Diesel","R24",44,3.93182563272433,3.78418963391826,2,"GH"
"212",5938,1082,1,1,"g",5,74,"Renault, Nissan or Citroen","Regular","R24",78,6.98656645940643,4.35670882668959,1,"GH"
"213",5953,7001,1,1,"k",11,46,"other","Regular","R24",298,8.8538082749772,5.6970934865054,2,"other"
"214",5974,1132,1,0.83,"d",0,76,"Renault, Nissan or Citroen","Regular","R24",22,7.03174125876313,3.09104245335832,1,"DEF"
"215",6021,61,1,1,"g",5,73,"Renault, Nissan or Citroen","Regular","R24",81,4.11087386417331,4.39444915467244,1,"GH"
"217",6137,151,1,0.56,"j",3,30,"Opel, General Motors or Ford","Diesel","R24",614,5.01727983681492,6.41999492814714,2,"other"
"218",6218,696,1,1,"e",4,67,"Renault, Nissan or Citroen","Regular","R24",126,6.54534966033442,4.83628190695148,1,"DEF"
"219",6225,351,1,0.31,"f",13,50,"Renault, Nissan or Citroen","Diesel","R24",29,5.86078622346587,3.36729582998647,1,"DEF"
"220",6246,2215,2,1,"f",6,23,"Renault, Nissan or Citroen","Diesel","R24",61,7.70300768247924,4.11087386417331,4,"DEF"
"221",6271,26929,1,0.09,"f",13,33,"Fiat","Regular","R24",67,10.2009590518076,4.20469261939097,2,"DEF"
"222",6286,1082,1,1,"h",13,46,"Renault, Nissan or Citroen","Diesel","R24",170,6.98656645940643,5.13579843705026,2,"GH"
"223",6287,287,1,1,"d",4,50,"Renault, Nissan or Citroen","Regular","R24",50,5.65948221575962,3.91202300542815,1,"DEF"
"224",6318,423,1,1,"e",2,54,"Renault, Nissan or Citroen","Diesel","R24",13,6.04737217904628,2.56494935746154,1,"DEF"
"225",6416,1077,1,0.55,"g",16,74,"Renault, Nissan or Citroen","Regular","R24",67,6.98193467715639,4.20469261939097,1,"GH"
"226",6465,1159,1,0.7,"e",10,20,"Renault, Nissan or Citroen","Regular","R24",5,7.05531284333975,1.6094379124341,4,"DEF"
"227",6481,4810,1,0.6,"f",9,20,"Renault, Nissan or Citroen","Diesel","R24",16,8.47845236309981,2.77258872223978,4,"DEF"
"228",6512,79,1,1,"g",5,29,"Renault, Nissan or Citroen","Diesel","R24",67,4.36944785246702,4.20469261939097,3,"GH"
"229",6519,1016,1,1,"f",6,63,"Renault, Nissan or Citroen","Diesel","R24",13,6.92362862813843,2.56494935746154,1,"DEF"
"230",6532,3301,2,0.84,"g",9,24,"Renault, Nissan or Citroen","Regular","R24",295,8.10198073185319,5.68697535633982,4,"GH"
"231",6598,1147,1,0.54,"d",19,38,"Renault, Nissan or Citroen","Regular","R24",50,7.04490511712937,3.91202300542815,2,"DEF"
"248",6881,1189,1,1,"j",2,58,"Renault, Nissan or Citroen","Regular","R24",4116,7.08086789669078,8.32263709695394,1,"other"
"269",7404,308,1,1,"g",4,40,"Renault, Nissan or Citroen","Diesel","R24",17,5.73009978297357,2.83321334405622,2,"GH"
"270",7452,4506,1,0.42,"f",6,29,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",41,8.41316512099219,3.71357206670431,3,"DEF"
"271",7464,2409,1,0.83,"e",9,29,"Renault, Nissan or Citroen","Diesel","R24",42,7.78696700261487,3.73766961828337,3,"DEF"
"272",7468,559,1,1,"j",5,26,"Opel, General Motors or Ford","Regular","R24",192,6.3261494731551,5.25749537202778,3,"other"
"273",7496,1122,1,1,"d",11,54,"Renault, Nissan or Citroen","Regular","R24",192,7.02286808608264,5.25749537202778,1,"DEF"
"274",7571,2449,1,0.69,"f",1,70,"Renault, Nissan or Citroen","Regular","R24",115,7.80343505695217,4.74493212836325,1,"DEF"
"275",7600,3368,1,1,"f",4,43,"other","Diesel","R24",51,8.12207437536222,3.93182563272433,2,"DEF"
"276",7601,1812,1,0.71,"d",11,51,"Renault, Nissan or Citroen","Diesel","R24",41,7.50218648660292,3.71357206670431,1,"DEF"
"277",7608,5846,1,0.96,"d",8,51,"Renault, Nissan or Citroen","Regular","R24",26,8.67351294567119,3.25809653802148,1,"DEF"
"278",7612,1096,1,0.89,"f",2,47,"Renault, Nissan or Citroen","Diesel","R24",30,6.99942246750796,3.40119738166216,2,"DEF"
"279",7620,1106,1,0.57,"d",18,23,"Renault, Nissan or Citroen","Regular","R24",3866,7.00850518208228,8.25997565976828,4,"DEF"
"280",7644,1127,1,1,"d",15,48,"Renault, Nissan or Citroen","Regular","R24",42,7.02731451403978,3.73766961828337,2,"DEF"
"281",7691,1098,1,0.46,"e",12,19,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",43,7.00124562206948,3.76120011569356,4,"DEF"
"282",7729,1156,1,0.34,"g",12,58,"Renault, Nissan or Citroen","Diesel","R24",222,7.05272104923232,5.40267738187228,1,"GH"
"283",7743,2688,1,0.43,"e",10,31,"Fiat","Diesel","R24",222,7.89655270164304,5.40267738187228,2,"DEF"
"284",7793,1182,1,1,"e",1,61,"Renault, Nissan or Citroen","Diesel","R24",53,7.07496319796604,3.97029191355212,1,"DEF"
"285",7822,1110,1,0.06,"j",8,34,"Japanese (except Nissan) or Korean","Regular","R24",186,7.01211529430638,5.2257466737132,2,"other"
"288",7876,1085,1,1,"f",17,32,"Opel, General Motors or Ford","Regular","R24",1064,6.98933526597456,6.96979066990159,2,"DEF"
"289",7906,1113,1,0.96,"f",17,43,"Volkswagen, Audi, Skoda or Seat","Regular","R24",82,7.01481435127554,4.40671924726425,2,"DEF"
"290",7918,3769,1,0.1,"f",6,28,"Renault, Nissan or Citroen","Diesel","R24",741,8.23456499326713,6.60800062529609,3,"DEF"
"291",7920,341,1,0.87,"e",2,28,"Renault, Nissan or Citroen","Diesel","R24",741,5.83188247728352,6.60800062529609,3,"DEF"
"292",7929,1096,1,0.47,"e",11,30,"Renault, Nissan or Citroen","Regular","R24",741,6.99942246750796,6.60800062529609,2,"DEF"
"293",7974,1460,1,0.3,"g",5,54,"Renault, Nissan or Citroen","Diesel","R24",335,7.28619171470238,5.81413053182507,1,"GH"
"294",7997,1136,1,0.66,"f",3,51,"Renault, Nissan or Citroen","Diesel","R24",48,7.0352685992811,3.87120101090789,1,"DEF"
"295",8002,1099,1,0.58,"g",2,74,"Japanese (except Nissan) or Korean","Regular","R24",3866,7.00215595440362,8.25997565976828,1,"GH"
"299",8063,1061,1,1,"f",6,50,"Fiat","Diesel","R24",51,6.96696713861398,3.93182563272433,1,"DEF"
"300",8068,1072,1,1,"g",2,48,"Renault, Nissan or Citroen","Diesel","R24",20,6.97728134163075,2.99573227355399,2,"GH"
"301",8097,1204,1,0.08,"d",2,53,"Renault, Nissan or Citroen","Regular","R24",1313,7.09340462586877,7.1800698743028,1,"DEF"
"302",8144,61,1,0.08,"f",3,47,"Opel, General Motors or Ford","Diesel","R24",43,4.11087386417331,3.76120011569356,2,"DEF"
"303",8168,115511,1,0.09,"h",9,76,"Renault, Nissan or Citroen","Diesel","R24",48,11.6571210425044,3.87120101090789,1,"GH"
"304",8176,1093,1,1,"e",6,42,"Opel, General Motors or Ford","Diesel","R24",22,6.99668148817654,3.09104245335832,2,"DEF"
"305",8222,1181,1,1,"d",5,50,"Fiat","Regular","R24",295,7.07411681619736,5.68697535633982,1,"DEF"
"306",8269,1221,1,0.87,"h",16,39,"Mercedes, Chrysler or BMW","Regular","R24",295,7.1074254741107,5.68697535633982,2,"GH"
"307",8271,1129,1,1,"f",5,43,"Renault, Nissan or Citroen","Diesel","R24",399,7.02908756414966,5.98896141688986,2,"DEF"
"308",8288,1110,1,0.31,"i",4,65,"Japanese (except Nissan) or Korean","Regular","R24",1054,7.01211529430638,6.96034772910131,1,"other"
"309",8342,258,1,1,"f",11,26,"Renault, Nissan or Citroen","Regular","R24",44,5.55295958492162,3.78418963391826,3,"DEF"
"310",8347,170,1,1,"e",5,29,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",84,5.13579843705026,4.43081679884331,3,"DEF"
"311",8369,686,1,1,"g",4,45,"Japanese (except Nissan) or Korean","Regular","R24",1054,6.53087762772588,6.96034772910131,2,"GH"
"312",8409,732,1,1,"d",13,77,"Renault, Nissan or Citroen","Regular","R24",137,6.59578051396131,4.91998092582813,1,"DEF"
"313",8415,1161,1,0.74,"f",2,64,"Renault, Nissan or Citroen","Diesel","R24",30,7.05703698169789,3.40119738166216,1,"DEF"
"314",8425,1115,1,1,"g",15,51,"Renault, Nissan or Citroen","Regular","R24",44,7.01660968389422,3.78418963391826,1,"GH"
"315",8437,556,1,0.19,"j",8,23,"Opel, General Motors or Ford","Diesel","R24",308,6.32076829425058,5.73009978297357,4,"other"
"316",8439,304,1,1,"g",12,29,"Renault, Nissan or Citroen","Regular","R24",44,5.71702770140622,3.78418963391826,3,"GH"
"317",8442,252,1,0.87,"e",3,29,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",1054,5.52942908751142,6.96034772910131,3,"DEF"
"318",8493,2091,2,1,"g",1,67,"Opel, General Motors or Ford","Diesel","R24",72,7.64539769942863,4.27666611901606,1,"GH"
"319",8508,890,1,1,"g",2,53,"Mercedes, Chrysler or BMW","Regular","R24",44,6.79122146272619,3.78418963391826,1,"GH"
"332",8744,1207,1,0.45,"h",8,26,"Japanese (except Nissan) or Korean","Regular","R24",38,7.09589322109753,3.63758615972639,3,"GH"
"364",9414,1153,1,1,"g",5,36,"Fiat","Regular","R24",1313,7.05012252026906,7.1800698743028,2,"GH"
"365",9440,1158,1,1,"g",15,37,"Renault, Nissan or Citroen","Regular","R24",57,7.05444965813294,4.04305126783455,2,"GH"
"376",9570,1089,1,1,"g",15,35,"Renault, Nissan or Citroen","Diesel","R24",18,6.99301512293296,2.89037175789616,2,"GH"
"377",9571,1129,1,1,"d",12,40,"Fiat","Regular","R24",20,7.02908756414966,2.99573227355399,2,"DEF"
"378",9606,1094,1,0.92,"e",10,35,"Renault, Nissan or Citroen","Diesel","R24",220,6.99759598298193,5.39362754635236,2,"DEF"
"380",9624,531,1,0.11,"g",11,28,"Renault, Nissan or Citroen","Diesel","R24",220,6.27476202124194,5.39362754635236,3,"GH"
"381",9628,1079,1,1,"f",4,61,"Renault, Nissan or Citroen","Diesel","R24",81,6.98378996525813,4.39444915467244,1,"DEF"
"383",9636,1147,1,1,"f",3,42,"Renault, Nissan or Citroen","Diesel","R24",35,7.04490511712937,3.55534806148941,2,"DEF"
"384",9639,2157,1,1,"f",4,33,"Renault, Nissan or Citroen","Regular","R24",10,7.67647364638916,2.30258509299405,2,"DEF"
"385",9664,1074,1,1,"e",8,24,"Renault, Nissan or Citroen","Regular","R24",43,6.97914527506881,3.76120011569356,4,"DEF"
"388",9737,1080,1,0.29,"f",5,27,"Renault, Nissan or Citroen","Diesel","R24",6,6.98471632011827,1.79175946922805,3,"DEF"
"389",9766,1045,1,0.66,"e",7,27,"Opel, General Motors or Ford","Diesel","R24",11,6.95177216439891,2.39789527279837,3,"DEF"
"390",9784,134,1,0.82,"f",3,30,"Renault, Nissan or Citroen","Diesel","R24",48,4.89783979995091,3.87120101090789,2,"DEF"
"391",9786,3210,1,0.08,"g",14,45,"Renault, Nissan or Citroen","Regular","R24",741,8.07402621612406,6.60800062529609,2,"GH"
"392",9803,1152,1,0.9,"g",2,35,"Renault, Nissan or Citroen","Regular","R24",1600,7.04925484125584,7.37775890822787,2,"GH"
"394",9872,395,1,0.33,"f",9,37,"Opel, General Motors or Ford","Regular","R24",126,5.97888576490112,4.83628190695148,2,"DEF"
"395",9918,1332,1,0.67,"e",1,23,"Renault, Nissan or Citroen","Diesel","R24",24,7.19443685110033,3.17805383034795,4,"DEF"
"402",10065,2771,1,0.78,"e",14,45,"Volkswagen, Audi, Skoda or Seat","Regular","R24",105,7.92696354486298,4.65396035015752,2,"DEF"
"403",10070,1130,1,1,"f",9,35,"Renault, Nissan or Citroen","Diesel","R24",27,7.02997291170639,3.29583686600433,2,"DEF"
"404",10075,297,1,1,"g",10,37,"Renault, Nissan or Citroen","Regular","R24",105,5.6937321388027,4.65396035015752,2,"GH"
"405",10088,8421,1,0.64,"e",11,19,"Renault, Nissan or Citroen","Regular","R24",203,9.03848386502999,5.31320597904179,4,"DEF"
"406",10108,4502,1,0.26,"i",13,31,"Renault, Nissan or Citroen","Regular","R24",1313,8.41227702146668,7.1800698743028,2,"other"
"407",10130,33,1,1,"d",8,36,"Opel, General Motors or Ford","Regular","R24",282,3.49650756146648,5.64190707093811,2,"DEF"
"409",10168,1107,1,1,"i",9,40,"Renault, Nissan or Citroen","Regular","R24",1064,7.00940893270864,6.96979066990159,2,"other"
"411",10201,1114,1,1,"e",4,62,"Fiat","Diesel","R24",105,7.01571242048723,4.65396035015752,1,"DEF"
"412",10219,1125,1,1,"e",9,35,"Opel, General Motors or Ford","Diesel","R24",105,7.02553831463852,4.65396035015752,2,"DEF"
"413",10254,589,1,0.41,"g",4,41,"Renault, Nissan or Citroen","Diesel","R24",27,6.37842618365159,3.29583686600433,2,"GH"
"414",10271,1109,1,1,"f",6,37,"Fiat","Diesel","R24",1313,7.01121398735037,7.1800698743028,2,"DEF"
"415",10282,328,1,0.54,"d",0,20,"Opel, General Motors or Ford","Diesel","R24",105,5.79301360838414,4.65396035015752,4,"DEF"
"449",10893,2036,1,1,"d",6,29,"Renault, Nissan or Citroen","Diesel","R24",393,7.61874237767041,5.97380961186926,3,"DEF"
"450",10900,797,1,0.57,"f",5,42,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",4116,6.68085467879022,8.32263709695394,2,"DEF"
"451",10939,2240,1,1,"f",16,46,"Renault, Nissan or Citroen","Diesel","R24",1313,7.71423114484909,7.1800698743028,2,"DEF"
"452",10940,4675,1,0.03,"f",5,23,"Renault, Nissan or Citroen","Diesel","R24",15,8.44998444172279,2.70805020110221,4,"DEF"
"453",11033,57,1,1,"e",9,54,"Volkswagen, Audi, Skoda or Seat","Diesel","R24",84,4.04305126783455,4.43081679884331,1,"DEF"
"455",11128,351,1,0.74,"f",11,47,"Renault, Nissan or Citroen","Diesel","R24",1313,5.86078622346587,7.1800698743028,2,"DEF"
"456",11129,1177,1,1,"g",1,46,"Renault, Nissan or Citroen","Diesel","R24",84,7.07072410726028,4.43081679884331,2,"GH"
"457",11132,1652,1,1,"g",7,65,"Japanese (except Nissan) or Korean","Regular","R24",30,7.40974195408092,3.40119738166216,1,"GH"
"458",11137,1730,1,0.25,"g",4,54,"Mercedes, Chrysler or BMW","Regular","R24",214,7.45587668749182,5.36597601502185,1,"GH"
"459",11139,335,1,0.48,"f",4,53,"Renault, Nissan or Citroen","Diesel","R24",105,5.81413053182507,4.65396035015752,1,"DEF"
"460",11149,143,1,0.63,"e",10,24,"Opel, General Motors or Ford","Diesel","R24",19,4.96284463025991,2.94443897916644,4,"DEF"
